Locus,Pubmed accession number
DQ917244,['17014880']
DQ917243,['17014880']
DQ917242,['17014880']
AF163096,['10759317']
AF246792,['11311426']
AF246791,['11311426']
AF246790,['11311426']
AF246789,['11311426']
KU529753,['27215933']
KU529752,['27215933']
KU529751,['27215933']
KU529750,['27215933']
KU529749,['27215933']
KU529748,['27215933']
KU529747,['27215933']
KU529746,['27215933']
KU529745,['27215933']
KU529744,['27215933']
KU529743,['27215933']
KU529742,['27215933']
KU529741,['27215933']
KU529740,['27215933']
KU529739,['27215933']
KU725664,['27185466']
KU725663,['27185466']
KT186263,['27172387']
KT186262,['27172387']
KT186261,['27172387']
KT186260,['27172387']
KT186259,['27172387']
KT186258,['27172387']
KT186257,['27172387']
KT186256,['27172387']
KT186255,['27172387']
KT186254,['27172387']
KT186253,['27172387']
KT186252,['27172387']
KT186251,['27172387']
KT186250,['27172387']
KT186249,['27172387']
KT186248,['27172387']
KT186247,['27172387']
KT751363,['26932451']
KT751362,['26932451']
KT751361,['26932451']
KT751360,['26932451']
KT751359,['26932451']
KT751358,['26932451']
KT751357,['26932451']
KT751356,['26932451']
KT751355,['26932451']
KT751354,['26932451']
KT751353,['26932451']
KT751352,['26932451']
KR091046,['26977703']
KR091045,['26977703']
KR091044,['26977703']
KR091043,['26977703']
KR091042,['26977703']
KR091041,['26977703']
KR091040,['26977703']
KR091039,['26977703']
KP406804,['26607896']
KT232206,['26593240']
KT232205,['26593240']
KT232204,['26593240']
EF595827,['18625078']
EF595826,['18625078']
EF595825,['18625078']
EF595824,['18625078']
EF595823,['18625078']
EF595822,['18625078']
EF595821,['18625078']
EF595820,['18625078']
EF595819,['18625078']
EF595818,['18625078']
EF595817,['18625078']
EF595816,['18625078']
EF595815,['18625078']
EF595835,['18625078']
EF595834,['18625078']
EF595833,['18625078']
EF595832,['18625078']
EF595831,['18625078']
EF595830,['18625078']
EF595829,['18625078']
EF595828,['18625078']
EF591293,['18625078']
EF591292,['18625078']
EF591291,['18625078']
EF591290,['18625078']
EF591289,['18625078']
EF591288,['18625078']
EF591287,['18625078']
DVU60587,['9017828']
DVU60586,['9017828']
AF100466,['10233934']
AF208496,['11027645']
EU081180,['19211734']
EU081179,['19211734']
EU081178,['19211734']
EU081177,['19211734']
EF457904,['17553878']
EF105390,['17553878']
EF105389,['17553878']
EF105388,['17553878']
EF105387,['17553878']
EF105386,['17553878']
EF105385,['17553878']
EF105384,['17553878']
EF105383,['17553878']
EF105382,['17553878']
EF105381,['17553878']
EF105380,['17553878']
EF105379,['17553878']
EF105378,['17553878']
AY702040,['15780865']
AY702039,['15780865']
AY702038,['15780865']
AY702037,['15780865']
AY702036,['15780865']
AY702035,['15780865']
AY702034,['15780865']
AF169688,['10789505']
AF169687,['10789505']
AF169686,['10789505']
AF169685,['10789505']
AF169684,['10789505']
AF169683,['10789505']
AF169682,['10789505']
AF169681,['10789505']
AF169680,['10789505']
AF169679,['10789505']
AF169678,['10789505']
AF100469,['10233934']
AF100468,['10233934']
AF100467,['10233934']
AF100465,['10233934']
AF100464,['10233934']
AF100463,['10233934']
AF100462,['10233934']
AF100461,['10233934']
AF100460,['10233934']
AF100459,['10233934']
AF022441,"['9208450', '9601513']"
AF022440,"['9208450', '9601513']"
AF022439,"['9208450', '9601513']"
AF022438,"['9208450', '9601513']"
AF022437,"['9208450', '9601513']"
AF022436,"['9208450', '9601513']"
AF022435,"['9208450', '9601513']"
AF022434,"['9208450', '9601513']"
U87412,['9143286']
AY842323,['15941596']
AY842322,['15941596']
AY842321,['15941596']
AY842320,['15941596']
AY842319,['15941596']
AY842318,['15941596']
AY842317,['15941596']
AY842316,['15941596']
AY842315,['15941596']
AY842314,['15941596']
AY842313,['15941596']
AY498848,['15695666']
AY498847,['15695666']
AY498846,['15695666']
AF309965,['11222098']
AF309964,['11222098']
AF309963,['11222098']
AF309962,['11222098']
AF309961,['11222098']
AF309960,['11222098']
AF309959,['11222098']
AF309958,['11222098']
AF309957,['11222098']
AF309956,['11222098']
AF309955,['11222098']
AF309954,['11222098']
AF309953,['11222098']
AF309952,['11222098']
AF309951,['11222098']
AF309950,['11222098']
AF100458,['10233934']
AF100151,['10233934']
AF100150,['10233934']
AF100149,['10233934']
AF100148,['10233934']
AF100147,['10233934']
AF100146,['10233934']
AF100145,['10233934']
DVU61248,['9208450']
DVU61247,['9208450']
DVU61246,['9208450']
DVU61245,['9208450']
DENESN1AT,['2129562']
AY037116,['11257177']
DEN2JAMCG,['3388770']
DENENSB,['9139372']
DENENSC,['9139372']
DENENSA,['9139372']
X15214,['2587242']
X15433,['2587243']
X15434,['2587234']
X54319,['2216784']
AJ272018,['10744091']
AJ272017,['10744091']
AJ272016,['10744091']
AJ272015,['10744091']
AJ272014,['10744091']
DENENS1D,['7494497']
DENENS1C,['7494497']
DENENS1B,['7494497']
DENENS1A,['7494497']
HM582117,['20663532']
HM582116,['20663532']
HM582115,['20663532']
HM582114,['20663532']
HM582113,['20663532']
HM582112,['20663532']
HM582111,['20663532']
HM582110,['20663532']
HM582109,['20663532']
HM582108,['20663532']
HM582107,['20663532']
HM582106,['20663532']
HM582105,['20663532']
HM582104,['20663532']
HM582103,['20663532']
HM582102,['20663532']
HM582101,['20663532']
HM582100,['20663532']
HM582099,['20663532']
LC129172,['27903277']
LC129171,['27903277']
LC129170,['27903277']
LC129169,['27903277']
AB194885,['18217869']
AB194884,['18217869']
AB194883,['18217869']
AB194882,['18217869']
HM185202,['20676363']
HM185201,['20676363']
HM185200,['20676363']
HM185199,['20676363']
HM185198,['20676363']
HM185197,['20676363']
HM185196,['20676363']
HM185195,['20676363']
HM185194,['20676363']
HM185193,['20676363']
HM185192,['20676363']
HM185191,['20676363']
HM185190,['20676363']
HM185189,['20676363']
HM185188,['20676363']
HM185187,['20676363']
HM185186,['20676363']
HM185185,['20676363']
HM234642,['20592088']
HM234641,['20592088']
GQ368176,['20202456']
GQ368175,['20202456']
GQ368174,['20202456']
GQ368173,['20202456']
GQ368172,['20202456']
GQ368171,['20202456']
GQ368170,['20202456']
GQ368169,['20202456']
GQ368168,['20202456']
GQ368167,['20202456']
GQ368166,['20202456']
GQ368165,['20202456']
GQ368164,['20202456']
GQ368163,['20202456']
GQ368162,['20202456']
GQ368161,['20202456']
GQ368160,['20202456']
GQ368159,['20202456']
GQ368158,['20202456']
GQ368157,['20202456']
GQ368156,['20202456']
KJ010186,['26395339']
KJ010185,['26395339']
KF360005,['26395339']
KM279610,['25811657']
KM279609,['25811657']
KM279608,['25811657']
KM279607,['25811657']
KM279606,['25811657']
KM279605,['25811657']
KM279604,['25811657']
KM279603,['25811657']
KM279602,['25811657']
KM279601,['25811657']
KM279600,['25811657']
KM279599,['25811657']
KM279598,['25811657']
KM279597,['25811657']
KM279596,['25811657']
KM279595,['25811657']
KM279594,['25811657']
KM279593,['25811657']
KM279592,['25811657']
KM279591,['25811657']
KM279590,['25811657']
KM279589,['25811657']
KM279588,['25811657']
KM279587,['25811657']
KM279586,['25811657']
KM279585,['25811657']
KM279584,['25811657']
KM279583,['25811657']
KM279582,['25811657']
KM279581,['25811657']
KM279580,['25811657']
KM279579,['25811657']
KM279578,['25811657']
KM279577,['25811657']
KM279576,['25811657']
KM279575,['25811657']
KM279574,['25811657']
KM279573,['25811657']
KM279572,['25811657']
KM279571,['25811657']
KM279570,['25811657']
KM279569,['25811657']
KM279568,['25811657']
KM279567,['25811657']
KM279566,['25811657']
KM279565,['25811657']
KM279564,['25811657']
KM279563,['25811657']
KM279562,['25811657']
KM279561,['25811657']
KM279560,['25811657']
KM279559,['25811657']
KM279558,['25811657']
KM279557,['25811657']
KM279556,['25811657']
KM279555,['25811657']
KM279554,['25811657']
KM279553,['25811657']
KM279552,['25811657']
KM279551,['25811657']
KM279550,['25811657']
KM279549,['25811657']
KM279548,['25811657']
KM279547,['25811657']
KM279546,['25811657']
KM279545,['25811657']
KM279544,['25811657']
KM279543,['25811657']
KM279542,['25811657']
KM279541,['25811657']
KM279540,['25811657']
KM279539,['25811657']
KM279538,['25811657']
KM279537,['25811657']
KM279536,['25811657']
KM279535,['25811657']
KM279534,['25811657']
KM279533,['25811657']
KM279532,['25811657']
KM279531,['25811657']
KM279530,['25811657']
KM279529,['25811657']
KM279528,['25811657']
KM279527,['25811657']
KM279526,['25811657']
KM279525,['25811657']
KM279524,['25811657']
KM279523,['25811657']
KM279522,['25811657']
KM279521,['25811657']
KM279520,['25811657']
KM279519,['25811657']
KM279518,['25811657']
KM279517,['25811657']
KM279516,['25811657']
KM279515,['25811657']
KM279514,['25811657']
KM279513,['25811657']
KM216736,['25635775']
KM216735,['25635775']
KM216734,['25635775']
KM216733,['25635775']
KM216732,['25635775']
KM216731,['25635775']
KM216730,['25635775']
KM216729,['25635775']
KM216728,['25635775']
KM216727,['25635775']
KM216726,['25635775']
KM216725,['25635775']
KM216724,['25635775']
KM216723,['25635775']
KM216722,['25635775']
KM216721,['25635775']
KM216720,['25635775']
KM216719,['25635775']
KM216718,['25635775']
KM216717,['25635775']
KM216716,['25635775']
KM216715,['25635775']
KM216714,['25635775']
KM216713,['25635775']
KM216712,['25635775']
KM216711,['25635775']
KM216710,['25635775']
KM216709,['25635775']
KM216708,['25635775']
KM216707,['25635775']
KM216706,['25635775']
KM216705,['25635775']
KM216704,['25635775']
KM216703,['25635775']
KM216702,['25635775']
KM216701,['25635775']
KM216700,['25635775']
KM216699,['25635775']
KM216698,['25635775']
KM216697,['25635775']
KM216696,['25635775']
KM216695,['25635775']
KM216694,['25635775']
KM216693,['25635775']
KM216692,['25635775']
KM222447,['25635775']
JQ955624,['23756811']
JX475906,['23756811']
JQ955623,['23756811']
HM210483,['23110744']
HM210482,['23110744']
HM210481,['23110744']
HM210480,['23110744']
HM210479,['23110744']
HM210478,['23110744']
HM210477,['23110744']
HM210476,['23110744']
HM210475,['23110744']
HM210474,['23110744']
HM210473,['23110744']
HM210472,['23110744']
HM210471,['23110744']
HM210470,['23110744']
HM210469,['23110744']
HM210468,['23110744']
HM210467,['23110744']
HM210466,['23110744']
HM210465,['23110744']
HM210464,['23110744']
HM210463,['23110744']
HM210462,['23110744']
HM210461,['23110744']
HQ999999,['22076162']
OL321186,['35895415']
OL321185,['35895415']
OL321184,['35895415']
OL321183,['35895415']
OL321182,['35895415']
OL321178,['35895415']
OL321177,['35895415']
OL321176,['35895415']
ON231313,['35879861']
ON231312,['35879861']
ON231311,['35879861']
ON231310,['35879861']
ON231309,['35879861']
ON231308,['35879861']
ON231307,['35879861']
ON231306,['35879861']
ON231304,['35879861']
MZ277532,['34428547']
MZ277531,['34428547']
MZ277530,['34428547']
MZ277529,['34428547']
MZ277528,['34428547']
MZ277527,['34428547']
MZ277526,['34428547']
MZ277525,['34428547']
MZ277524,['34428547']
MZ277523,['34428547']
MZ277522,['34428547']
MZ277521,['34428547']
MZ277520,['34428547']
MZ277519,['34428547']
MZ277518,['34428547']
MZ277517,['34428547']
MZ277516,['34428547']
MZ277515,['34428547']
MZ277514,['34428547']
MZ277513,['34428547']
MZ277512,['34428547']
MZ277511,['34428547']
MZ277510,['34428547']
MZ277509,['34428547']
MZ277508,['34428547']
MZ277507,['34428547']
MZ277506,['34428547']
MZ277505,['34428547']
MZ277504,['34428547']
MZ277503,['34428547']
MZ277502,['34428547']
MZ277501,['34428547']
MZ277500,['34428547']
MZ277499,['34428547']
MZ277498,['34428547']
MZ277497,['34428547']
MZ277496,['34428547']
MZ277495,['34428547']
MZ277494,['34428547']
MZ277493,['34428547']
MZ277492,['34428547']
MZ277491,['34428547']
MZ277490,['34428547']
MZ277489,['34428547']
MZ277488,['34428547']
MZ277487,['34428547']
MZ277486,['34428547']
MZ277485,['34428547']
MZ277484,['34428547']
MZ277483,['34428547']
MZ277482,['34428547']
MZ277481,['34428547']
MZ277480,['34428547']
MZ277479,['34428547']
MZ277478,['34428547']
MZ277477,['34428547']
MZ277476,['34428547']
MZ277475,['34428547']
MZ277474,['34428547']
MZ277473,['34428547']
MZ277472,['34428547']
MZ277471,['34428547']
MZ277470,['34428547']
MZ277469,['34428547']
MZ277468,['34428547']
MZ277467,['34428547']
MZ277466,['34428547']
MZ277465,['34428547']
MZ277464,['34428547']
MZ277463,['34428547']
MZ277462,['34428547']
MZ277461,['34428547']
MZ277460,['34428547']
MZ277459,['34428547']
MZ277458,['34428547']
MZ277457,['34428547']
MZ277456,['34428547']
MZ277455,['34428547']
MZ857222,['34746356']
MZ857221,['34746356']
MZ857220,['34746356']
MZ857219,['34746356']
MZ857218,['34746356']
MZ857215,['34746356']
MZ857214,['34746356']
MZ857213,['34746356']
MZ857212,['34746356']
MZ857211,['34746356']
MZ857210,['34746356']
MZ857209,['34746356']
MZ857208,['34746356']
MZ857207,['34746356']
MW648229,['34411743']
MW648228,['34411743']
MW648227,['34411743']
MW648226,['34411743']
MW648225,['34411743']
MW648224,['34411743']
MW648223,['34411743']
MW648222,['34411743']
MW648221,['34411743']
MW648220,['34411743']
MW648219,['34411743']
MW648218,['34411743']
MW648217,['34411743']
MW648216,['34411743']
7LYF_A,['33953197']
EU448431,['19478273']
EU448430,['19478273']
EU448429,['19478273']
EU448428,['19478273']
EU448427,['19478273']
EU448426,['19478273']
EU448425,['19478273']
EU448424,['19478273']
EU448423,['19478273']
EU448422,['19478273']
EU448421,['19478273']
EU448420,['19478273']
EU448419,['19478273']
EU448418,['19478273']
EU448417,['19478273']
EU448416,['19478273']
EU448415,['19478273']
LC472363,['31416485']
LC472362,['31416485']
LC472361,['31416485']
LC472360,['31416485']
LC472359,['31416485']
LC472358,['31416485']
LC472357,['31416485']
LC472356,['31416485']
LC472355,['31416485']
LC472354,['31416485']
LC472353,['31416485']
LC472352,['31416485']
LC472351,['31416485']
LC472350,['31416485']
LC472349,['31416485']
LC472348,['31416485']
LC472347,['31416485']
LC472346,['31416485']
LC472345,['31416485']
LC472344,['31416485']
LC472343,['31416485']
LC472342,['31416485']
LC472341,['31416485']
LC472340,['31416485']
LC472339,['31416485']
LC472338,['31416485']
LC472337,['31416485']
LC472336,['31416485']
LC472335,['31416485']
LC472334,['31416485']
LC472333,['31416485']
LC472332,['31416485']
LC472331,['31416485']
LC472330,['31416485']
LC472329,['31416485']
LC472328,['31416485']
LC472327,['31416485']
LC472326,['31416485']
LC472325,['31416485']
LC472324,['31416485']
LC472323,['31416485']
LC472322,['31416485']
LC472321,['31416485']
LC472320,['31416485']
LC472319,['31416485']
LC472318,['31416485']
LC472317,['31416485']
LC472316,['31416485']
LC472315,['31416485']
LC472314,['31416485']
LC472313,['31416485']
NC_001474,['9143286']
LC206003,['28890518']
LC310791,['28748782']
KT204455,['28575000']
AB219135,"['20495269', '21029541']"
LN870428,['28302072']
LN870427,['28302072']
EU303191,['18218114']
LC147057,['27524929']
LC147056,['27524929']
FJ225461,['19193262']
FJ225460,['19193262']
FJ225459,['19193262']
FJ225458,['19193262']
FJ225457,['19193262']
FJ225456,['19193262']
FJ225455,['19193262']
FJ225454,['19193262']
FJ225453,['19193262']
FJ225452,['19193262']
FJ225451,['19193262']
EU642553,['18945183']
EU570981,['18625078']
EU570980,['18625078']
EU570979,['18625078']
EU570978,['18625078']
EU570977,['18625078']
EU570976,['18625078']
EU570975,['18625078']
EU570983,['18625078']
EU570982,['18625078']
EU552539,['18625078']
EU552538,['18625078']
EU552537,['18625078']
EU552536,['18625078']
EU552535,['18625078']
EU552534,['18625078']
EU552542,['18625078']
EU552541,['18625078']
EU552540,['18625078']
EU518604,['18945183']
EU518603,['18945183']
EU518602,['18945183']
EU518601,['18945183']
AY786406,['16222028']
AY786405,['16222028']
AY786404,['16222028']
AY786403,['16222028']
AY786402,['16222028']
AY786401,['16222028']
AY786400,['16222028']
AY786399,['16222028']
AY786398,['16222028']
AY786397,['16222028']
AY786396,['16222028']
AY786395,['16222028']
AY786394,['16222028']
AY786393,['16222028']
AY786392,['16222028']
AY786391,['16222028']
AY786390,['16222028']
AY786389,['16222028']
AY786388,['16222028']
AY786387,['16222028']
AY786386,['16222028']
AY786385,['16222028']
AY786384,['16222028']
AY786383,['16222028']
AY786382,['16222028']
AY786381,['16222028']
AY786380,['16222028']
AY786379,['16222028']
AY786378,['16222028']
AY786377,['16222028']
AY786376,['16222028']
AY786375,['16222028']
AY786374,['16222028']
AY786373,['16222028']
AY786372,['16222028']
AY786371,['16222028']
AY786370,['16222028']
AY786369,['16222028']
AY786368,['16222028']
AY786367,['16222028']
AY786366,['16222028']
JN030345,['22036707']
JN030344,['22036707']
JN030343,['22036707']
JN030342,['22036707']
JN030341,['22036707']
JN030340,['22036707']
JN030339,['22036707']
JN030338,['22036707']
JN030337,['22036707']
JN030336,['22036707']
JN030335,['22036707']
JN030334,['22036707']
JN030333,['22036707']
JN030332,['22036707']
JN030331,['22036707']
JN030330,['22036707']
JN030329,['22036707']
JN030328,['22036707']
JN030327,['22036707']
JN030326,['22036707']
JN030325,['22036707']
JN030324,['22036707']
JN030323,['22036707']
JN030322,['22036707']
JN030321,['22036707']
JN030320,['22036707']
JN030319,['22036707']
JN030318,['22036707']
JN030317,['22036707']
JN030316,['22036707']
JN030315,['22036707']
JN030314,['22036707']
JN030313,['22036707']
JN030312,['22036707']
JN030311,['22036707']
JN030310,['22036707']
JN030309,['22036707']
JN030308,['22036707']
JN030307,['22036707']
JN030306,['22036707']
JN030305,['22036707']
JN030304,['22036707']
JN030303,['22036707']
JN030302,['22036707']
JN030301,['22036707']
JN030300,['22036707']
JN030299,['22036707']
JN030298,['22036707']
JN030297,['22036707']
JN030296,['22036707']
JN030295,['22036707']
JN030294,['22036707']
JN030293,['22036707']
JN030292,['22036707']
JN030291,['22036707']
JN030290,['22036707']
JN030289,['22036707']
JN030288,['22036707']
JN030287,['22036707']
JN030286,['22036707']
JN030285,['22036707']
JN030284,['22036707']
JN030283,['22036707']
JN030282,['22036707']
JN030281,['22036707']
JN030280,['22036707']
JN030279,['22036707']
JN030278,['22036707']
JN030277,['22036707']
JN030276,['22036707']
JN030275,['22036707']
JN030274,['22036707']
JN030273,['22036707']
JN030272,['22036707']
JN030271,['22036707']
JN030270,['22036707']
JN030269,['22036707']
JN030268,['22036707']
JN030267,['22036707']
JN030266,['22036707']
JN030265,['22036707']
JN030264,['22036707']
JN030263,['22036707']
JN030262,['22036707']
JN030261,['22036707']
JN030260,['22036707']
JN030259,['22036707']
JN030258,['22036707']
JN030257,['22036707']
JN030256,['22036707']
JN030255,['22036707']
JN030254,['22036707']
JN030253,['22036707']
JN030252,['22036707']
JN030251,['22036707']
JN030250,['22036707']
JN030249,['22036707']
JN030248,['22036707']
JN030247,['22036707']
JN030246,['22036707']
JN030245,['22036707']
JN030244,['22036707']
JN030243,['22036707']
JN030242,['22036707']
JN030241,['22036707']
JN030240,['22036707']
JN030239,['22036707']
JN030238,['22036707']
JN030237,['22036707']
JN030236,['22036707']
JN030235,['22036707']
JN030234,['22036707']
JN030233,['22036707']
JN030232,['22036707']
JN030231,['22036707']
JN030230,['22036707']
JN030229,['22036707']
JN030228,['22036707']
JN030227,['22036707']
JN030226,['22036707']
JN030225,['22036707']
JN030224,['22036707']
JN030223,['22036707']
JN030222,['22036707']
JN030221,['22036707']
JN030220,['22036707']
JN030219,['22036707']
JN030218,['22036707']
JN030217,['22036707']
JN030216,['22036707']
JN030215,['22036707']
JN030214,['22036707']
JN030213,['22036707']
JN030212,['22036707']
JN030211,['22036707']
JN030210,['22036707']
JN030209,['22036707']
JN030208,['22036707']
JN030207,['22036707']
JN030206,['22036707']
JN030205,['22036707']
JN030204,['22036707']
JN030203,['22036707']
JN030202,['22036707']
JN030201,['22036707']
JN030200,['22036707']
JN030199,['22036707']
JN380862,['22036707']
JN380861,['22036707']
JN380860,['22036707']
JN380859,['22036707']
JN380858,['22036707']
JN380857,['22036707']
JN380856,['22036707']
JN380855,['22036707']
JN380854,['22036707']
JN380853,['22036707']
JN380852,['22036707']
JN380851,['22036707']
JN380850,['22036707']
JN380849,['22036707']
JN380848,['22036707']
JN380847,['22036707']
JN380846,['22036707']
JN380845,['22036707']
JN380844,['22036707']
JN380843,['22036707']
JN380842,['22036707']
JN380841,['22036707']
JN380840,['22036707']
JN380839,['22036707']
JN380838,['22036707']
JN380837,['22036707']
JN380836,['22036707']
JN380835,['22036707']
JN380834,['22036707']
JN380833,['22036707']
JN380832,['22036707']
JN380831,['22036707']
JN380830,['22036707']
JN380829,['22036707']
JN380828,['22036707']
JN380827,['22036707']
JN380826,['22036707']
JN380825,['22036707']
JN380824,['22036707']
JN380823,['22036707']
JN380822,['22036707']
JN380821,['22036707']
JN380820,['22036707']
JN380819,['22036707']
JN380818,['22036707']
JN380817,['22036707']
JN380816,['22036707']
JN380815,['22036707']
JN380814,['22036707']
JN380813,['22036707']
JN380812,['22036707']
JN380811,['22036707']
JN196614,['22036707']
JN196613,['22036707']
JN196612,['22036707']
JN196611,['22036707']
JN196610,['22036707']
JN196609,['22036707']
JN196608,['22036707']
JN196607,['22036707']
JN196606,['22036707']
JN196605,['22036707']
JN196604,['22036707']
JN196603,['22036707']
JN196602,['22036707']
JN196601,['22036707']
JN196600,['22036707']
JN196599,['22036707']
JN196598,['22036707']
JN196597,['22036707']
JN196596,['22036707']
JN196595,['22036707']
JN196594,['22036707']
JN196593,['22036707']
JN196592,['22036707']
JN196591,['22036707']
JN196590,['22036707']
JN196589,['22036707']
JN196588,['22036707']
JN196587,['22036707']
JN196586,['22036707']
JN196585,['22036707']
JN196584,['22036707']
JN196583,['22036707']
JN196582,['22036707']
JN196581,['22036707']
JN196580,['22036707']
JN196579,['22036707']
JN196578,['22036707']
JN196577,['22036707']
JN196576,['22036707']
JN196575,['22036707']
JN196574,['22036707']
JN196573,['22036707']
JN196572,['22036707']
JN196571,['22036707']
JN196570,['22036707']
JN196569,['22036707']
JN196568,['22036707']
HM171556,['20549264']
HM171555,['20549264']
HM171554,['20549264']
HM171553,['20549264']
HM171552,['20549264']
HM171551,['20549264']
HM171550,['20549264']
HM171549,['20549264']
HM171548,['20549264']
HM171547,['20549264']
HM171546,['20549264']
HM171545,['20549264']
HM171544,['20549264']
HM171543,['20549264']
HM171542,['20549264']
HM171541,['20549264']
GQ357830,['20409381']
GQ357829,['20409381']
GQ357828,['20409381']
GQ357827,['20409381']
GQ357826,['20409381']
GQ357825,['20409381']
GQ357824,['20409381']
GQ357823,['20409381']
GQ357822,['20409381']
GQ357821,['20409381']
GQ357820,['20409381']
GQ357819,['20409381']
GQ357818,['20409381']
GQ357817,['20409381']
GQ357816,['20409381']
GQ357815,['20409381']
GQ357814,['20409381']
GQ357813,['20409381']
GQ357812,['20409381']
GQ357811,['20409381']
GQ357810,['20409381']
GQ357809,['20409381']
GQ357808,['20409381']
GQ357807,['20409381']
GQ357806,['20409381']
GQ357805,['20409381']
GQ357804,['20409381']
GQ357803,['20409381']
GQ357802,['20409381']
GQ357801,['20409381']
GQ357800,['20409381']
GQ357799,['20409381']
GQ357798,['20409381']
GQ357797,['20409381']
GQ357796,['20409381']
GQ357795,['20409381']
GQ357794,['20409381']
GQ357793,['20409381']
GQ357792,['20409381']
GQ357791,['20409381']
GQ357790,['20409381']
GQ357789,['20409381']
GQ357788,['20409381']
GQ357787,['20409381']
GQ357786,['20409381']
GQ357785,['20409381']
GQ357784,['20409381']
GQ357783,['20409381']
GQ357782,['20409381']
GQ357781,['20409381']
GQ357780,['20409381']
GQ357779,['20409381']
GQ357778,['20409381']
GQ357777,['20409381']
GQ357776,['20409381']
GQ357775,['20409381']
GQ357774,['20409381']
GQ357773,['20409381']
GQ357772,['20409381']
GQ357771,['20409381']
GQ357770,['20409381']
GQ357769,['20409381']
GQ357768,['20409381']
GQ357767,['20409381']
GQ357766,['20409381']
GQ357765,['20409381']
GQ357764,['20409381']
GQ357763,['20409381']
GQ357762,['20409381']
GQ357761,['20409381']
GQ357760,['20409381']
GQ357759,['20409381']
GQ357758,['20409381']
GQ357757,['20409381']
GQ357756,['20409381']
GQ357755,['20409381']
GQ357754,['20409381']
GQ357753,['20409381']
GQ357752,['20409381']
GQ357751,['20409381']
GQ357750,['20409381']
GQ357749,['20409381']
GQ357748,['20409381']
GQ357747,['20409381']
GQ357746,['20409381']
GQ357745,['20409381']
GQ357744,['20409381']
GQ357743,['20409381']
GQ357742,['20409381']
GQ357741,['20409381']
GQ357740,['20409381']
GQ357739,['20409381']
GQ357738,['20409381']
GQ357737,['20409381']
GQ357736,['20409381']
GQ357735,['20409381']
GQ357734,['20409381']
GQ357733,['20409381']
GQ357732,['20409381']
GQ357731,['20409381']
GQ357730,['20409381']
GQ357729,['20409381']
GQ357728,['20409381']
GQ357727,['20409381']
GQ357726,['20409381']
GQ357725,['20409381']
GQ357724,['20409381']
GQ357723,['20409381']
GQ357722,['20409381']
GQ357721,['20409381']
GQ357720,['20409381']
GQ357719,['20409381']
GQ357718,['20409381']
GQ357717,['20409381']
GQ357716,['20409381']
GQ357715,['20409381']
GQ357714,['20409381']
GQ357713,['20409381']
GQ357712,['20409381']
GQ357711,['20409381']
GQ330472,['20105295']
GU586123,['21234665']
GU586122,['21234665']
GU586492,['21234665']
FJ937969,['20003526']
FJ937968,['20003526']
FJ931535,['20003526']
DENPPSP,['8887488']
GQ340962,['21341545']
GQ340961,['21341545']
GQ340960,['21341545']
GQ340959,['21341545']
GQ340958,['21341545']
FJ807640,['19923266']
FJ807639,['19923266']
FJ807638,['19923266']
FJ807637,['19923266']
FJ807636,['19923266']
FJ807635,['19923266']
FJ807634,['19923266']
FJ807633,['19923266']
FJ807632,['19923266']
FJ606704,['19861059']
FJ606703,['19861059']
FJ538928,['19923266']
FJ538927,['19923266']
FJ538926,['19923266']
FJ538925,['19923266']
FJ538924,['19923266']
FJ538923,['19923266']
FJ538922,['19923266']
FJ538921,['19923266']
FJ538920,['19923266']
FJ538919,['19923266']
FJ538918,['19923266']
FJ538917,['19923266']
FJ538916,['19923266']
FJ538915,['19923266']
FJ538914,['19923266']
FJ538913,['19923266']
FJ538912,['19923266']
FJ538911,['19923266']
FJ538910,['19923266']
FJ538909,['19923266']
FJ538908,['19923266']
FJ538907,['19923266']
FJ538906,['19923266']
FJ538905,['19923266']
AY858036,['18243816']
AY858035,['18243816']
KP723478,['27257804']
KP012546,['27257804']
AH013794,['15515246']
AH004735,['7694966']
KT288902,['27088845']
KT288901,['27088845']
KT288900,['27088845']
KT288899,['27088845']
KT288898,['27088845']
KT288897,['27088845']
KT288896,['27088845']
KT288895,['27088845']
KT175140,['26880779']
KT175139,['26880779']
KT175138,['26880779']
KT175137,['26880779']
KT175136,['26880779']
KT175135,['26880779']
KT175134,['26880779']
KT175133,['26880779']
KT175132,['26880779']
KT175131,['26880779']
KT175130,['26880779']
KT175129,['26880779']
KT175128,['26880779']
KT175127,['26880779']
KT175126,['26880779']
KT175125,['26880779']
KT175124,['26880779']
KT175123,['26880779']
KT175122,['26880779']
KT175121,['26880779']
KT175120,['26880779']
KT175119,['26880779']
KT175118,['26880779']
KT175117,['26880779']
KT175116,['26880779']
KT175115,['26880779']
KT175114,['26880779']
KT175113,['26880779']
KT175112,['26880779']
KT175111,['26880779']
KM204118,['26868382']
KM875659,['26977703']
KM875658,['26977703']
KM875657,['26977703']
KM875656,['26977703']
KM875655,['26977703']
KM875654,['26977703']
KM875653,['26977703']
KM875652,['26977703']
KM875651,['26977703']
KM875650,['26977703']
KM875649,['26977703']
KM875648,['26977703']
KM875647,['26977703']
KM875646,['26977703']
KM875645,['26977703']
KM875644,['26977703']
KM875643,['26977703']
KM875642,['26977703']
KM875641,['26977703']
KM875640,['26977703']
KM875639,['26977703']
KM875638,['26977703']
KJ534634,['26047200']
KF289070,['25346397']
KF289069,['25346397']
KF289068,['25346397']
KF289067,['25346397']
KF289066,['25346397']
