Locus,Pubmed accession number
MW510478,['34188091']
MW510477,['34188091']
MW510476,['34188091']
MW510475,['34188091']
MW510474,['34188091']
MW510473,['34188091']
MW510472,['34188091']
MW510471,['34188091']
MW510470,['34188091']
MW510469,['34188091']
MW510468,['34188091']
MW510467,['34188091']
MW510466,['34188091']
MW510465,['34188091']
MW510464,['34188091']
MW510463,['34188091']
MW510462,['34188091']
MW510461,['34188091']
MW510460,['34188091']
MW510459,['34188091']
MW510458,['34188091']
MW510457,['34188091']
MW510456,['34188091']
MW510455,['34188091']
MW510454,['34188091']
MW510453,['34188091']
MW510452,['34188091']
MW510451,['34188091']
MW510450,['34188091']
MW510449,['34188091']
MW510448,['34188091']
MW510447,['34188091']
MW510446,['34188091']
MW510445,['34188091']
MW510444,['34188091']
MW510443,['34188091']
MW510442,['34188091']
MW510441,['34188091']
MW510440,['34188091']
MW510439,['34188091']
MW510438,['34188091']
MW510437,['34188091']
MW510436,['34188091']
MW510435,['34188091']
MW510434,['34188091']
MW510433,['34188091']
MW510432,['34188091']
MW510431,['34188091']
MW510430,['34188091']
MW510429,['34188091']
MW510428,['34188091']
MW510427,['34188091']
MW510426,['34188091']
MW510425,['34188091']
MW510424,['34188091']
MW510423,['34188091']
MW510422,['34188091']
MW510421,['34188091']
MW510420,['34188091']
MW510419,['34188091']
MW510418,['34188091']
MW510417,['34188091']
MW510416,['34188091']
MW510415,['34188091']
MW510414,['34188091']
MW510413,['34188091']
MW510412,['34188091']
MW510411,['34188091']
MW510410,['34188091']
MW510409,['34188091']
MW510408,['34188091']
MW510407,['34188091']
MW510406,['34188091']
MW510405,['34188091']
MW510404,['34188091']
MW510403,['34188091']
MW510402,['34188091']
MW510401,['34188091']
MW510400,['34188091']
MW510399,['34188091']
MW510398,['34188091']
MW510397,['34188091']
MW510396,['34188091']
MW510395,['34188091']
MW510394,['34188091']
MW510393,['34188091']
MW510392,['34188091']
MW510391,['34188091']
MW510390,['34188091']
MW510389,['34188091']
MW510388,['34188091']
MW510387,['34188091']
MW510386,['34188091']
MW510385,['34188091']
MW510384,['34188091']
MW510383,['34188091']
MW510382,['34188091']
MW510381,['34188091']
MW510380,['34188091']
MW510379,['34188091']
MW510378,['34188091']
MW510377,['34188091']
MW510376,['34188091']
MW510375,['34188091']
MW510374,['34188091']
MW510373,['34188091']
MW510372,['34188091']
MW510371,['34188091']
MW510370,['34188091']
MW510369,['34188091']
MW510368,['34188091']
MW510367,['34188091']
MW510366,['34188091']
MW510365,['34188091']
MW510364,['34188091']
MW510363,['34188091']
MW510362,['34188091']
MW510361,['34188091']
MW510360,['34188091']
MW510359,['34188091']
MW510358,['34188091']
MW510356,['34188091']
MW510355,['34188091']
MW510354,['34188091']
MW510353,['34188091']
MW510352,['34188091']
MW510351,['34188091']
MW510350,['34188091']
MW510349,['34188091']
MW510348,['34188091']
MW510347,['34188091']
MW510346,['34188091']
MW510345,['34188091']
MW510344,['34188091']
MW510343,['34188091']
MW510342,['34188091']
MW510341,['34188091']
MW510340,['34188091']
MW510339,['34188091']
MW510338,['34188091']
MW510337,['34188091']
MW510336,['34188091']
MW510335,['34188091']
MW510334,['34188091']
MW510333,['34188091']
MW510332,['34188091']
MW510331,['34188091']
MW510330,['34188091']
MW510329,['34188091']
MW510328,['34188091']
MW510327,['34188091']
MW510326,['34188091']
MW510325,['34188091']
MW510324,['34188091']
MW510323,['34188091']
MW510322,['34188091']
MW510321,['34188091']
MW510320,['34188091']
MW510319,['34188091']
MW510318,['34188091']
MW510317,['34188091']
MW510316,['34188091']
MW510315,['34188091']
MW510314,['34188091']
MW510313,['34188091']
MW510312,['34188091']
MW510311,['34188091']
MW510310,['34188091']
MW510309,['34188091']
MW510308,['34188091']
MW510307,['34188091']
MW510306,['34188091']
MW510305,['34188091']
MW510304,['34188091']
MW510303,['34188091']
MW510302,['34188091']
MW510301,['34188091']
MW510300,['34188091']
MW510299,['34188091']
MW510298,['34188091']
MW510297,['34188091']
MW510296,['34188091']
MW510295,['34188091']
MW510294,['34188091']
MW510293,['34188091']
MW510292,['34188091']
MW510291,['34188091']
MW510290,['34188091']
MW510289,['34188091']
MW510288,['34188091']
MW510287,['34188091']
MW510286,['34188091']
MW510285,['34188091']
MW510284,['34188091']
MW510283,['34188091']
MW510282,['34188091']
MW510281,['34188091']
MW510280,['34188091']
MW510279,['34188091']
MW510278,['34188091']
MW510277,['34188091']
MW510276,['34188091']
MW510275,['34188091']
MW510274,['34188091']
MW510273,['34188091']
MW510272,['34188091']
MW510271,['34188091']
MW510270,['34188091']
MW510269,['34188091']
MW510268,['34188091']
MW510267,['34188091']
MW510266,['34188091']
MW510265,['34188091']
MW510264,['34188091']
MW510263,['34188091']
MW510262,['34188091']
MW510261,['34188091']
MW510260,['34188091']
MW510259,['34188091']
MW510258,['34188091']
MW510257,['34188091']
MW510256,['34188091']
MW510255,['34188091']
MW510254,['34188091']
MW510253,['34188091']
MW510252,['34188091']
MW510251,['34188091']
MW510250,['34188091']
MW510249,['34188091']
MW510248,['34188091']
MW510247,['34188091']
MW510246,['34188091']
MW510245,['34188091']
MW510244,['34188091']
MW510243,['34188091']
MW510242,['34188091']
MW510241,['34188091']
MW510240,['34188091']
MW510239,['34188091']
MW510238,['34188091']
MW510156,['34188091']
MW510155,['34188091']
MW510154,['34188091']
MW510153,['34188091']
MW510152,['34188091']
MW510151,['34188091']
MW510150,['34188091']
MW510149,['34188091']
MW510148,['34188091']
MW510147,['34188091']
MW510146,['34188091']
MW510145,['34188091']
MW510144,['34188091']
MW510143,['34188091']
MW510142,['34188091']
MW510141,['34188091']
MW510140,['34188091']
MW510139,['34188091']
MW510138,['34188091']
MW510137,['34188091']
MW510136,['34188091']
MW510135,['34188091']
MW510134,['34188091']
MW510133,['34188091']
MW510132,['34188091']
MW510131,['34188091']
MW510130,['34188091']
MW510129,['34188091']
MW510128,['34188091']
MW510127,['34188091']
MW510126,['34188091']
MW510125,['34188091']
MW510124,['34188091']
MW510123,['34188091']
MW510122,['34188091']
MW510121,['34188091']
MW510120,['34188091']
MW510119,['34188091']
MW510118,['34188091']
MW510117,['34188091']
MW510116,['34188091']
MW510115,['34188091']
MW510114,['34188091']
MW510113,['34188091']
MW510112,['34188091']
MW510111,['34188091']
MW510110,['34188091']
MW510109,['34188091']
MW510108,['34188091']
MW510107,['34188091']
MW510106,['34188091']
MW510105,['34188091']
MW510104,['34188091']
MW510103,['34188091']
MW510102,['34188091']
MW510101,['34188091']
MW510100,['34188091']
MW510099,['34188091']
MW510098,['34188091']
MW510097,['34188091']
MW510096,['34188091']
MW510095,['34188091']
MW510094,['34188091']
MW510093,['34188091']
MW510092,['34188091']
MW510091,['34188091']
MW510090,['34188091']
MW510089,['34188091']
MW510088,['34188091']
MW510087,['34188091']
MW510086,['34188091']
MW510085,['34188091']
MW510084,['34188091']
MW510083,['34188091']
MW510082,['34188091']
MW510081,['34188091']
MW510080,['34188091']
MW510079,['34188091']
MW510078,['34188091']
MW510077,['34188091']
MW510076,['34188091']
MW510075,['34188091']
MW510074,['34188091']
MW510073,['34188091']
MW510072,['34188091']
MW510071,['34188091']
MW510070,['34188091']
MW510069,['34188091']
MW510068,['34188091']
MW510067,['34188091']
MW510066,['34188091']
MW510065,['34188091']
MW510064,['34188091']
MW510063,['34188091']
MW510062,['34188091']
MW510061,['34188091']
MW510060,['34188091']
MW510059,['34188091']
MW510058,['34188091']
MW510057,['34188091']
MW510056,['34188091']
MW510055,['34188091']
MW510054,['34188091']
MW510053,['34188091']
MW510052,['34188091']
MW510051,['34188091']
MW510050,['34188091']
MW510049,['34188091']
MW510048,['34188091']
MW510047,['34188091']
MW510046,['34188091']
MW510045,['34188091']
MW510044,['34188091']
MW510043,['34188091']
MW510042,['34188091']
MW510041,['34188091']
MW510040,['34188091']
MW510039,['34188091']
MW510038,['34188091']
MW510037,['34188091']
MW510036,['34188091']
MW510035,['34188091']
MW510034,['34188091']
MW510033,['34188091']
MW510032,['34188091']
MW510031,['34188091']
MW510030,['34188091']
MW510029,['34188091']
MW510028,['34188091']
MW510027,['34188091']
MW510026,['34188091']
MW510025,['34188091']
MW510024,['34188091']
KY923048,['28729258']
KX702404,['28774993']
DQ181901,['16528037']
DQ181900,['16528037']
DQ181899,['16528037']
DQ181898,['16528037']
DQ181897,['16528037']
DQ181896,['16528037']
DQ181895,['16528037']
DQ181894,['16528037']
DQ181893,['16528037']
DQ181892,['16528037']
DQ181891,['16528037']
DQ181890,['16528037']
DQ181889,['16528037']
DQ181888,['16528037']
DQ181887,['16528037']
DQ181886,['16528037']
DQ181885,['16528037']
DQ181884,['16528037']
DQ181883,['16528037']
DQ181882,['16528037']
DQ181881,['16528037']
DQ181880,['16528037']
DQ181879,['16528037']
DQ181878,['16528037']
DQ181877,['16528037']
DQ181876,['16528037']
DQ181875,['16528037']
DQ181874,['16528037']
DQ181873,['16528037']
DQ181872,['16528037']
DQ181871,['16528037']
DQ181870,['16528037']
DQ181869,['16528037']
DQ181868,['16528037']
DQ181867,['16528037']
DQ181866,['16528037']
DQ181865,['16528037']
DQ181864,['16528037']
DQ181863,['16528037']
DQ181862,['16528037']
DQ181861,['16528037']
DQ181860,['16528037']
DQ181859,['16528037']
DQ181858,['16528037']
DQ181857,['16528037']
DQ181856,['16528037']
DQ181855,['16528037']
DQ181854,['16528037']
DQ181853,['16528037']
DQ181852,['16528037']
DQ181851,['16528037']
DQ181850,['16528037']
DQ181849,['16528037']
DQ181848,['16528037']
DQ181847,['16528037']
DQ181846,['16528037']
DQ181845,['16528037']
DQ181844,['16528037']
DQ181843,['16528037']
DQ181842,['16528037']
DQ181841,['16528037']
DQ181840,['16528037']
DQ181839,['16528037']
DQ181838,['16528037']
DQ181837,['16528037']
DQ181836,['16528037']
DQ181835,['16528037']
DQ181834,['16528037']
DQ181833,['16528037']
DQ181832,['16528037']
DQ181831,['16528037']
DQ181830,['16528037']
DQ181829,['16528037']
DQ181828,['16528037']
DQ181827,['16528037']
DQ181826,['16528037']
DQ181825,['16528037']
DQ181824,['16528037']
DQ181823,['16528037']
DQ181822,['16528037']
DQ181821,['16528037']
DQ181820,['16528037']
DQ181819,['16528037']
DQ181818,['16528037']
DQ181817,['16528037']
DQ181816,['16528037']
DQ181815,['16528037']
DQ181814,['16528037']
DQ181813,['16528037']
DQ181812,['16528037']
DQ181811,['16528037']
DQ181810,['16528037']
DQ181809,['16528037']
DQ181808,['16528037']
DQ181807,['16528037']
AY702060,['15578237']
AY702059,['15578237']
AY702058,['15578237']
AY702057,['15578237']
AY702056,['15578237']
AY702055,['15578237']
AY702054,['15578237']
AY702053,['15578237']
AY702052,['15578237']
AY702051,['15578237']
AY702050,['15578237']
AY702049,['15578237']
AY702048,['15578237']
AY702047,['15578237']
AY702046,['15578237']
AY702045,['15578237']
AY702044,['15578237']
AY702043,['15578237']
AY702042,['15578237']
AY702041,['15578237']
DENVVB,['3803928']
KT012519,['26553170']
KT012518,['26553170']
KT012517,['26553170']
KT012516,['26553170']
KT012515,['26553170']
KT012514,['26553170']
KT012513,['26553170']
KT012512,['26553170']
KT012511,['26553170']
KT012510,['26553170']
KT012509,['26553170']
KT012508,['26553170']
KT012507,['26553170']
KT012506,['26553170']
AY744147,['15461822']
EU056812,['18570968']
EU056811,['18570968']
EU056810,['18570968']
DQ181806,['16528037']
DQ181805,['16528037']
DQ181804,['16528037']
